continent_en;country_en;continent_fr;country_fr
Africa;Algeria;Afrique;Algérie
Africa;Angola;Afrique;Angola
Africa;Benin;Afrique;Bénin
Africa;Botswana;Afrique;Botswana
Africa;Burundi;Afrique;Burundi
Africa;Cameroon;Afrique;Cameroun
Africa;Central African Republic;Afrique;République centrafricaine
Africa;Chad;Afrique;Tchad
Africa;Comoros;Afrique;Comores
Africa;Congo;Afrique;Congo
Africa;Democratic Republic of Congo;Afrique;République Démocratique du Congo
Africa;Djibouti;Afrique;Djibouti
Africa;Egypt;Afrique;Egypte
Africa;Equatorial Guinea;Afrique;Guinée-Équatoriale
Africa;Eritrea;Afrique;Erythrée
Africa;Ethiopia;Afrique;Ethiopie
Africa;Gabon;Afrique;Gabon
Africa;Gambia;Afrique;Gambie
Africa;Ghana;Afrique;Ghana
Africa;Guinea;Afrique;Guinée
Africa;Guinea-Bissau;Afrique;Guinée-Bissau
Africa;Kenya;Afrique;Kenya
Africa;Lesotho;Afrique;Lesotho
Africa;Liberia;Afrique;Liberia
Africa;Libya;Afrique;Libye
Africa;Madagascar;Afrique;Madagascar
Africa;Malawi;Afrique;Malawi
Africa;Mali;Afrique;Mali
Africa;Mauritania;Afrique;Mauritanie
Africa;Mauritius;Afrique;Ile Maurice
Africa;Morocco;Afrique;Maroc
Africa;Mozambique;Afrique;Mozambique
Africa;Namibia;Afrique;Namibie
Africa;Niger;Afrique;Niger
Africa;Nigeria;Afrique;Niger
Africa;Rwanda;Afrique;Rwanda
Africa;Sao Tome and Principe;Afrique;Sao-Tomé-et-Principe
Africa;Senegal;Afrique;Sénégal
Africa;Seychelles;Afrique;Seychelles
Africa;Sierra Leone;Afrique;Sierra Leone
Africa;Somalia;Afrique;Somalie
Africa;South Africa;Afrique;Afrique du Sud
Africa;South Sudan;Afrique;Soudan du 
Africa;Sudan;Afrique;Soudan
Africa;Swaziland;Afrique;Eswatini
Africa;Tanzania;Afrique;Tanzanie
Africa;Togo;Afrique;Togo
Africa;Tunisia;Afrique;Tunisie
Africa;Uganda;Afrique;Uganda
Africa;Zambia;Afrique;Zambie
Africa;Zimbabwe;Afrique;Zimbabwe
Asia;Afghanistan;Asie;Afghanistan
Asia;Bahrain;Asie;Bahreïn
Asia;Bangladesh;Asie;Bangladesh
Asia;Bhutan;Asie;Bhoutan
Asia;Burma (Myanmar);Asie;Birmanie
Asia;Cambodia;Asie;Cambodge
Asia;China;Asie;Chine
Asia;Hong Kong;Asie;Hong Kong
Asia;India;Asie;Inde
Asia;Indonesia;Asie;Indonésie
Asia;Iran;Asie;Iran
Asia;Iraq;Asie;Irak
Asia;Israel;Asie;Israël
Asia;Japan;Asie;Japon
Asia;Jordan;Asie;Jordanie
Asia;Kazakhstan;Asie;Kazakhstan
Asia;North Korea;Asie;Corée du Nord
Asia;South Korea;Asie;Corée du Sud
Asia;Kuwait;Asie;Koweït
Asia;Kyrgyzstan;Asie;Kirghizistan
Asia;Laos;Asie;Laos
Asia;Lebanon;Asie;Liban
Asia;Malaysia;Asie;Malaisie
Asia;Maldives;Asie;Maldives
Asia;Mongolia;Asie;Mongolie
Asia;Nepal;Asie;Népal
Asia;Oman;Asie;Oman
Asia;Pakistan;Asie;Pakistan
Asia;Philippines;Asie;Philippines
Asia;Qatar;Asie;Qatar
Asia;Saudi Arabia;Asie;Arabie Saoudite
Asia;Singapore;Asie;Singapour
Asia;Sri Lanka;Asie;Sri Lanka
Asia;Taiwan;Asie;Taïwan
Asia;Tajikistan;Asie;Tadjikistan
Asia;Thailand;Asie;Thaïlande
Europe;Turkey;Europe;Turquie
Asia;Turkmenistan;Asie;Turkménistan
Asia;United Arab Emirates;Asie;Emirats arabes unis
Asia;Uzbekistan;Asie;Ouzbékistan
Asia;Yemen;Asie;Yémen
Europe;Albania;Europe;Albanie
Europe;Andorra;Europe;Andorre
Europe;Armenia;Europe;Arménie
Europe;Austria;Europe;Autriche
Europe;Azerbaijan;Europe;Azerbaïdjan
Europe;Belarus;Europe;Biélorussie
Europe;Belgium;Europe;Belgique
Europe;Bosnia and Herzegovina;Europe;Bosnie-Herzégovine
Europe;Bulgaria;Europe;Bulgarie
Europe;Croatia;Europe;Croatie
Europe;Cyprus;Europe;Chypre
Europe;Denmark;Europe;Danemark
Europe;Estonia;Europe;Estonie
Europe;Finland;Europe;Finlande
Europe;France;Europe;France
Europe;Georgia;Europe;Géorgie
Europe;Germany;Europe;Allemagne
Europe;Greece;Europe;Grèce
Europe;Hungary;Europe;Hongrie
Europe;Iceland;Europe;Islande
Europe;Ireland;Europe;Irlande
Europe;Italy;Europe;Italie
Europe;Latvia;Europe;Lettonie
Europe;Liechtenstein;Europe;Liechtenstein
Europe;Lithuania;Europe;Lituanie
Europe;Luxembourg;Europe;Luxembourg
Europe;Macedonia;Europe;Macédoine
Europe;Malta;Europe;Malte
Europe;Moldova;Europe;Moldavie
Europe;Monaco;Europe;Monaco
Europe;Montenegro;Europe;Monténégro
Europe;Netherlands;Europe;Pays-Bas
Europe;Norway;Europe;Norvège
Europe;Poland;Europe;Pologne
Europe;Portugal;Europe;Portugal
Europe;Romania;Europe;Roumanie
Europe;San Marino;Europe;Saint-Marin
Europe;Serbia;Europe;Serbie
Europe;Slovakia;Europe;Slovaquie
Europe;Slovenia;Europe;Slovénie
Europe;Spain;Europe;Espagne
Europe;Sweden;Europe;Suède
Europe;Switzerland;Europe;Suisse
Europe;Ukraine;Europe;Ukrai
Europe;Vatican City;Europe;Vatican
North America;Antigua and Barbuda;Amérique du Nord;Antigua-et-Barbuda
North America;Bahamas;Amérique du Nord;Bahamas
North America;Barbados;Amérique du Nord;Barbade
North America;Belize;Amérique du Nord;Belize
North America;Canada;Amérique du Nord;Canada
North America;Costa Rica;Amérique du Nord;Costa Rica
North America;Cuba;Amérique du Nord;Cuba
North America;Dominican Republic;Amérique du Nord;République dominicaine
North America;El Salvador;Amérique du Nord;Salvador
North America;Grenada;Amérique du Nord;Grenade
North America;Guatemala;Amérique du Nord;Guatemala
North America;Haiti;Amérique du Nord;Haïti
North America;Honduras;Amérique du Nord;Honduras
North America;Jamaica;Amérique du Nord;Jamaïque
North America;Mexico;Amérique du Nord;Mexique
North America;Nicaragua;Amérique du Nord;Nicaragua
North America;Panama;Amérique du Nord;Panama
North America;Saint Kitts and Nevis;Amérique du Nord;Saint-Christophe-et-Niévès
North America;Saint Lucia;Amérique du Nord;Sainte-Lucie
North America;Saint Vincent and the Grenadines;Amérique du Nord;Saint-Vincent-et-les-Grenadines
North America;Trinidad and Tobago;Amérique du Nord;Trinité et Tobago
Oceania;Australia;Océanie;Australie
Oceania;Fiji;Océanie;Fidji
Oceania;Kiribati;Océanie;Kiribati
Oceania;Marshall Islands;Océanie;Îles Marshall
Oceania;Micronesia;Océanie;Micronésie
Oceania;Nauru;Océanie;Nauru
Oceania;New Zealand;Océanie;Nouvelle-Zélande
Oceania;Palau;Océanie;Palaos
Oceania;Papua New Guinea;Océanie;Papouasie-Nouvelle-Guinée
Oceania;Samoa;Océanie;Samoa
Oceania;Solomon Islands;Océanie;Îles Salomon
Oceania;Tonga;Océanie;Tonga
Oceania;Tuvalu;Océanie;Tuvalu
Oceania;Vanuatu;Océanie;Vanuatu
South America;Argentina;Amérique du Sud;Argentine
South America;Bolivia;Amérique du Sud;Bolivie
South America;Brazil;Amérique du Sud;Brésil
South America;Chile;Amérique du Sud;Chili
South America;Colombia;Amérique du Sud;Colombie
